3	28
3	30
3	39
3	54
25	3
25	6
25	8
25	19
25	23
25	28
25	29
25	30
25	33
25	35
25	50
25	54
25	55
25	75
25	80
25	86
25	94
4	8
4	10
4	28
4	30
4	38
4	55
4	56
4	75
5	6
5	8
5	10
5	23
5	30
5	33
5	38
5	50
5	54
5	55
5	61
5	75
5	89
5	93
6	3
6	8
6	10
6	19
6	23
6	28
6	29
6	30
6	33
6	34
6	35
6	38
6	39
6	50
6	54
6	55
6	56
6	61
6	80
6	86
6	89
6	93
6	94
7	6
7	28
7	30
7	32
7	35
7	38
7	54
7	55
7	61
7	75
7	93
8	6
8	10
8	19
8	23
8	28
8	30
8	33
8	34
8	36
8	39
8	49
8	50
8	54
8	55
8	56
8	61
8	75
8	80
8	86
8	89
9	8
9	10
9	23
9	28
9	30
9	33
9	34
9	54
9	55
9	56
9	61
9	75
9	80
9	86
9	94
10	3
10	6
10	8
10	19
10	23
10	28
10	30
10	33
10	34
10	38
10	50
10	54
10	89
10	93
11	6
11	8
11	10
11	15
11	19
11	23
11	28
11	29
11	30
11	33
11	34
11	35
11	36
11	38
11	49
11	50
11	54
11	55
11	56
11	61
11	72
11	75
11	86
11	89
11	93
11	95
12	8
12	28
12	30
12	56
12	72
12	80
13	28
13	30
14	3
14	10
14	23
14	28
14	30
14	32
14	49
14	54
14	55
14	56
14	61
14	75
14	95
15	8
15	23
15	28
15	30
15	32
15	33
15	38
15	49
15	54
15	55
15	56
15	61
15	95
16	28
16	30
17	3
17	8
17	10
17	28
17	30
17	32
17	33
17	35
17	50
17	54
17	55
17	95
18	30
18	36
18	55
19	3
19	6
19	23
19	28
19	30
19	33
19	38
19	50
19	54
19	55
19	61
19	89
20	3
20	6
20	19
20	30
20	33
20	34
20	36
20	50
20	54
20	55
20	56
20	61
20	75
20	80
20	89
21	28
21	30
21	35
21	54
21	61
21	75
21	86
21	89
22	30
23	29
23	30
23	33
23	38
23	39
23	50
23	55
23	80
23	94
24	3
24	8
24	15
24	19
24	28
24	30
24	33
24	34
24	35
24	36
24	50
24	54
24	72
54	3
54	28
28	3
28	6
28	8
28	19
28	29
28	33
28	34
28	35
28	38
28	49
28	50
28	54
28	55
28	56
28	61
28	75
28	80
28	86
28	94
33	8
33	28
33	38
33	50
33	54
33	56
34	3
34	6
34	39
34	54
36	15
36	28
36	35
36	38
36	50
36	54
36	55
36	80
36	86
36	89
35	3
35	33
35	39
35	50
35	54
37	50
37	54
38	54
38	55
38	56
38	75
39	6
39	8
39	23
39	28
39	29
39	33
39	35
39	50
39	54
39	80
40	33
40	54
40	55
26	3
26	6
26	19
26	23
26	28
26	33
26	34
26	38
26	39
26	50
26	54
26	55
26	56
26	80
26	89
26	93
41	3
41	28
41	33
41	54
41	56
41	75
42	19
42	23
42	28
42	34
42	50
42	54
42	55
42	56
42	75
42	80
43	54
44	15
44	54
45	8
45	54
45	55
46	3
46	36
46	54
46	56
47	3
47	8
47	10
47	19
47	28
47	39
47	50
47	54
47	55
47	56
47	61
47	72
47	80
47	93
47	94
48	28
48	54
48	86
48	94
49	28
49	54
50	23
50	28
50	54
50	61
51	33
51	39
51	54
51	55
51	56
51	72
51	80
51	93
52	54
53	15
53	28
53	54
29	3
29	8
29	10
29	23
29	28
29	33
29	39
29	50
29	54
29	55
29	56
29	75
29	86
29	93
29	95
55	6
55	8
55	28
55	29
55	36
55	38
55	56
55	61
55	75
55	80
55	86
55	94
56	6
56	28
56	49
56	61
57	55
57	61
58	15
58	23
58	28
58	50
58	55
58	61
58	75
58	80
58	89
58	93
58	94
59	3
59	15
59	28
59	33
59	49
59	56
59	61
59	86
60	61
62	6
27	6
27	15
27	19
27	28
27	34
27	55
27	93
63	6
64	6
65	6
65	89
66	6
66	28
66	55
66	56
72	8
72	15
72	28
72	39
72	56
72	89
73	3
73	8
73	28
73	75
73	95
75	8
75	28
75	32
75	56
75	94
76	8
78	8
78	28
78	49
78	56
79	8
79	29
79	50
79	55
79	75
79	93
79	94
77	8
77	28
77	49
80	8
80	29
80	33
80	50
80	55
80	75
80	86
81	8
81	28
81	32
81	55
81	93
83	33
91	33
91	55
67	33
67	56
67	75
84	33
85	33
86	15
86	33
86	35
86	50
86	55
86	56
71	19
71	33
71	35
71	50
71	55
71	75
71	80
71	86
71	93
71	94
87	8
87	15
87	28
87	29
87	33
87	35
87	36
87	55
87	56
87	72
87	75
87	86
88	33
89	15
89	33
89	35
89	56
89	86
90	15
90	23
90	28
90	29
90	33
90	35
90	39
90	55
90	72
90	75
90	86
92	93
82	93
94	3
94	19
94	23
94	28
94	39
94	56
94	80
94	86
94	93
95	10
99	10
96	10
96	28
100	10
100	34
98	10
98	56
98	86
31	28
31	49
31	75
31	95
68	8
68	15
68	32
68	56
68	72
68	75
68	95
74	28
74	29
74	35
74	49
74	55
74	56
74	75
74	86
32	75
